ID,Site,Location,Deployment_Date,Deployment_DTW_btoc,Sample_Date,Sample_Depth_btoc,Sampling_DTW_btoc,New_Bag_Deployed,Notes,
708,CG044-003,03C049MW,3/30/2018,56.13,7/13/2018,74,55.61,Y,,
709,CG044-003,03L001MW,3/16/2018,49.07,7/12/2018,100,48.5,Y,,
710,CG044-003,03R002MW,8/10/2017,48.05,7/12/2018,59.6,45.36,Y,,
711,CG041-010,10C003MW,7/31/2017,38.45,7/10/2018,41,38.01,Y,,
712,CG041-010,10C006MW,8/8/2017,57.86,7/11/2018,99.45,57.47,Y,,
713,CG041-010,10C007MW,8/7/2017,54.89,7/11/2018,119.31,54,Y,,
714,CG041-010,10C009MW,8/7/2017,48.53,7/11/2018,49.85,48.11,Y,,
715,CG041-010,10C017AMW,8/8/2017,30.58,7/11/2018,49.59,29.97,Y,,
716,CG041-010,10C017BMW,8/8/2017,35.84,7/11/2018,89.68,35.02,Y,,
717,CG041-010,10C019AMW,8/7/2017,89.6,7/11/2018,119.25,88,Y,,
718,CG041-010,10C019BMW,8/7/2017,58.68,7/11/2018,153.48,57.7,Y,,
719,CG041-010,10C021BMW,8/7/2017,26.21,7/11/2018,113.6,25.41,Y,,
720,CG041-010,10C027MW,8/1/2017,51.12,7/10/2018,69.5,50.8,Y,,
721,CG041-010,10C028MW,8/8/2017,28.89,7/10/2018,39.18,28.41,Y,,
722,CG041-010,10C029MW,8/8/2017,27.3,7/11/2018,41.58,27,Y,,
723,CG041-010,10C035RW,8/1/2017,,7/10/2018,56,49.42,Y,,
724,CG041-010,10C041RW,8/1/2017,,7/10/2018,49,38.93,N,Injection occuring in July 2018.,
725,CG041-010,10C044RW,8/1/2017,39.41,7/10/2018,52,39.21,N,Injection occuring in July 2018.,
726,CG041-010,10C045RW,8/1/2017,47.48,7/10/2018,55.4,46.73,Y,,
727,CG041-010,10C050RW,7/10/2018,,8/3/2018,42,29.07,Y,,
728,CG041-010,10C051RW,8/1/2017,,7/10/2018,48,35.28,Y,,
729,CG041-010,10C054RW,8/8/2017,34.3,7/10/2018,52.5,33.95,Y,,
730,CG041-010,10C055RW,8/8/2017,29.12,7/10/2018,50,28.82,Y,,
731,CG041-010,10M004MW,8/16/2017,39.98,7/11/2018,46,39.41,Y,,
732,CG041-010,10M007MW,8/8/2017,28.32,,42.25,,N,PDB sampler stuck in well.,
733,CG041-010,10R003MW,8/8/2017,25.09,7/10/2018,29,24.57,Y,,
734,CG041-010,10R004MW,3/22/2018,67.96,7/11/2018,71,68,Y,,
735,CG041-010,10R005MW,8/7/2017,73.61,7/11/2018,77.5,73.32,Y,,
736,CG044-013,13C038MW,7/31/2017,37.83,8/8/2018,97,39.83,Y,,
737,CG044-013,13C039MW,7/31/2017,38.18,8/8/2018,139,40.17,Y,,
738,CG044-013,13C041PZD,8/1/2017,44.29,8/3/2018,170.7,33,Y,,
739,CG044-013,13C041PZM,8/1/2017,39.65,8/3/2018,130.4,30,Y,,
740,CG044-013,13C041PZS,8/1/2017,38.77,8/3/2018,105,29.3,Y,,
741,CG044-013,13C042MW,8/1/2017,42.22,8/3/2018,178.75,32.11,Y,,
742,CG044-013,13C043MW,8/1/2017,41.7,8/3/2018,174,32.67,Y,,
743,CG044-013,13C044MW,8/1/2017,41.14,8/3/2018,179,33.06,Y,,
744,CG044-013,13C045MW,3/29/2018,32.59,8/3/2018,176.58,35.55,Y,,
745,CG044-013,13C046MW,8/1/2017,44,8/3/2018,178.79,36.33,Y,,
746,CG044-013,13C049MW,8/1/2017,30.71,8/3/2018,92.2,25.93,Y,,
747,CG044-013,13C054MW,3/29/2018,28.68,8/3/2018,250.14,32.41,Y,,
748,CG044-013,13C055MW,8/1/2017,41.68,8/3/2018,285,32.55,Y,PDB deeper than sounder length (200 feet).,
749,CG044-013,13C056MW,7/31/2017,37.39,8/8/2018,102,36.69,Y,,
750,CG044-013,13C058MW,8/2/2017,50.14,8/8/2018,262,36.18,Y,,
751,CG044-013,13C071MW,8/1/2017,36.14,8/8/2018,38.7,35.91,Y,,
752,CG044-013,13C089AMW,7/31/2017,38.66,8/8/2018,51.6,35.53,Y,,
753,CG044-013,13C089BMW,7/31/2017,39.1,8/8/2018,100.2,36.05,Y,,
754,CG044-013,13C090AMW,7/31/2017,40.05,8/8/2018,56,37.6,Y,,
755,CG044-013,13C090BMW,8/22/2017,38.53,8/8/2018,101,37.93,Y,,
756,CG044-013,13L010MW,3/28/2018,34.38,8/8/2018,107,39.15,Y,,
757,CG044-013,13L018MW,3/29/2018,30.51,8/8/2018,208,41.9,Y,,
758,CG044-013,13L022MW,3/28/2018,27.96,8/8/2018,189,34.63,Y,,
759,CG044-013,13L028MW,7/31/2017,40.35,8/8/2018,174,39.26,Y,,
760,CG044-013,13L029MW,7/31/2017,42.6,8/8/2018,100.5,39.32,Y,,
761,CG044-013,13L030MW,8/1/2017,42.17,8/3/2018,180,33.27,Y,,
762,CG044-013,13L031MW,8/1/2017,39.29,8/3/2018,188.1,32.69,Y,,
763,CG044-013,13L032MW,8/2/2017,40.41,8/8/2018,172,35.65,Y,,
764,CG044-013,13O033MW,8/1/2017,40.11,8/3/2018,118.51,34.48,Y,,
765,CG044-013,13O034MW,8/1/2017,39.8,8/3/2018,127.2,33.28,Y,,
766,CG044-013,13O035MW,8/1/2017,40.07,8/3/2018,164.4,33.5,Y,,
767,CG044-013,13O036MW,8/2/2017,40.18,8/8/2018,124,36.27,Y,,
768,CG044-013,13O037MW,8/2/2017,,8/8/2018,192,31.71,Y,,
769,CG041-017,17C001MW,8/10/2018,44.62,8/7/2018,40,44.5,Y,,
770,CG041-017,17C009MW,,,8/7/2018,46,45.64,Y,,
771,CG041-017,17C010MW,8/10/2018,62.84,8/7/2018,63,62.71,Y,,
772,CG041-017,17C015AMW,3/28/2018,7.94,8/7/2018,13.5,13.41,Y,,
773,CG041-017,17C015BMW,3/28/2018,9.66,8/7/2018,54.15,15.25,Y,,
774,CG041-017,17C156MW,8/17/2017,11.67,8/7/2018,34,12.21,Y,,
775,CG041-017,17C157MW,8/17/2017,12.12,8/7/2018,33,12.66,Y,,
776,CG041-017,17C159MW,3/28/2020,8.69,8/7/2018,30,12.29,Y,,
777,CG041-017,17C160MW,8/22/2017,11.78,8/7/2018,30.3,14.13,Y,,
778,CG041-017,17C161MW,8/16/2017,13.49,8/7/2018,20.2,14.01,Y,,
779,CG041-017,17C162MW,8/17/2017,14.49,8/7/2018,18.5,14.8,Y,,
780,CG041-017,17C164MW,8/17/2017,10.35,8/7/2018,12.5,10.66,Y,,
781,CG041-017,17C165BMW,3/28/2018,11.32,8/7/2018,38.75,17.15,Y,,
782,CG041-017,17C166MW,3/28/2018,9.13,8/7/2018,39,14.44,Y,,
783,CG041-017,17C168MW,8/18/2017,12.18,8/7/2018,28,12.77,Y,,
784,CG041-017,17C169MW,8/18/2017,11.72,8/7/2018,20,11.95,Y,,
785,CG041-017,17H15BMW,8/22/2017,16.24,8/7/2018,28,16.6,Y,,
786,CG041-017,17H16BMW,3/28/2018,9.34,8/7/2018,28,14.18,Y,,
787,CG041-017,17H17BMW,8/22/2017,15.78,8/7/2018,26,16.27,Y,,
788,CG041-017,17L007MW,8/10/2018,62.84,8/31/2018,24,14.59,Y,,
789,CG041-017,17L010MW,3/28/2018,10.6,8/7/2018,15.5,15.65,Y,,
790,CG041-017,17V001MW,3/28/2018,13.04,8/7/2018,22,18.21,Y,,
791,CG041-017,17V012MW,3/28/2018,13.61,8/7/2018,17,15.31,Y,,
792,CG041-017,UCL001MW,8/17/2017,30.64,8/7/2018,36,32.29,Y,,
793,CG041-018,18C020MW,8/9/2017,52.05,8/2/2018,53,49.96,Y,,
794,CG041-018,18C021AMW,8/9/2017,54.31,8/1/2018,62,51.8,Y,,
795,CG041-018,18C021BMW,8/9/2017,54.18,8/1/2018,94,51.6,Y,,
796,CG041-018,18C022MW,8/9/2017,55.31,8/1/2018,70,52.85,Y,,
797,CG041-018,18C023MW,8/9/2017,54.43,8/1/2018,77,51.86,Y,,
798,CG041-018,18C024MW,8/9/2017,55,8/1/2018,71,52.46,Y,,
799,CG041-018,18C028MW,8/9/2017,55.54,8/1/2018,74,52.13,Y,,
800,CG041-018,18C043MW,8/9/2017,51.77,8/2/2018,72,48.85,Y,,
801,CG041-018,18C044MW,8/9/2017,54.72,8/1/2018,71.55,52.07,Y,,
802,CG041-018,18C046MW,8/9/2017,51.35,8/2/2018,65,49.1,Y,,
803,CG041-018,18C047MW,8/9/2017,49.11,8/1/2018,56,46.79,Y,,
804,CG041-018,18U004MW,8/9/2017,53.81,8/2/2018,71,51.05,Y,,
805,CG044-031,31C006AMW,8/25/2017,47.8,7/13/2018,64,44.7,Y,,
806,CG044-031,31C006BMW,8/8/2017,50.1,7/13/2018,113,46.45,Y,,
807,CG044-031,31C006CMW,8/8/2017,49.83,7/13/2018,142.5,46.16,Y,,
808,CG044-031,31C008AMW,7/31/2017,59.22,7/23/2018,109.5,55.82,Y,,
809,CG044-031,31C011AMW,7/28/2017,55.89,7/13/2018,89.34,53.21,Y,,
810,CG044-031,31C011BMW,8/17/2017,57.6,7/13/2018,133,54.02,Y,,
811,CG044-031,31C012AMW,7/28/2017,54.08,7/31/2018,110,50.54,Y,,
812,CG044-031,31C012BMW,8/17/2017,54.58,7/31/2018,136,50.49,Y,,
813,CG044-031,31C013MW,8/15/2017,53.9,7/23/2018,101,50.09,Y,,
814,CG044-031,31C015MW,8/16/2017,54.35,7/27/2018,110,50.73,Y,,
815,CG044-031,31C018MW,8/15/2017,54.37,7/31/2018,95,51.09,Y,,
816,CG044-031,31C020MW,7/31/2017,54.75,7/27/2018,104,51.5,Y,,
817,CG044-031,31C022MW,8/16/2017,53.19,7/26/2018,107,49.7,Y,,
818,CG044-031,31C030MW,7/28/2017,50.4,7/19/2018,104,47.24,Y,,
819,CG044-031,31C032MW,8/16/2017,50.36,7/27/2018,100,48.98,Y,,
820,CG044-031,31C033MW,8/15/2017,53.21,7/31/2018,105,49.87,Y,,
821,CG044-031,31C035MW,7/19/2018,45.99,8/6/2018,100,46.09,Y,,
822,CG044-031,31C037AMW,7/28/2017,54.91,7/13/2018,105,51.31,Y,,
823,CG044-031,31C037BMW,7/28/2017,54.95,7/13/2018,183,51.4,Y,,
824,CG044-031,31C041AMW,7/28/2017,53.38,7/13/2018,119,49.53,Y,,
825,CG044-031,31C041BMW,3/16/2018,48.58,7/13/2018,153,49.38,Y,,
826,CG044-031,31M001MW,8/1/2017,60.03,7/27/2018,83,58.23,Y,,
827,CG044-031,31R003MW,3/16/2018,53.43,7/13/2018,68,53.25,Y,,
828,CG044-031,31R004AMW,7/28/2017,47.55,7/19/2018,63,45.01,Y,,
829,CG044-031,31R004BMW,8/15/2017,50.46,7/19/2018,109,46.7,Y,,
830,CG044-031,31U001AMW,8/16/2017,51.1,7/10/2018,94.7,48.18,Y,,
831,CG044-031,31U001BMW,8/16/2017,53.45,7/10/2018,140,50.02,Y,,
832,CG044-031,31U003AMW,7/19/2018,53.8,8/6/2018,108,53.95,Y,,
833,CG044-031,31U003BMW,3/30/2018,53.53,7/19/2018,138.93,53.88,Y,,
834,CG044-031,31U003CMW,8/17/2017,57.74,7/19/2018,169,53.69,Y,,
835,CG044-031,UBL003MW,7/28/2017,46.82,7/31/2018,84,43.62,Y,,
836,CG044-031,01C007AMW,3/26/2018,31.54,8/3/2018,60,37.8,Y,,
837,CG044-031,01C007BMW,3/26/2018,31.29,8/3/2018,98,38,Y,,
838,CG044-031,01C007CMW,3/26/2018,31.3,8/3/2018,180,38.26,Y,,
839,CG044-031,01C008AMW,7/17/2018,41.23,8/3/2018,57,43.78,Y,,
840,CG044-031,01C008BMW,7/17/2018,41.39,8/3/2018,108.5,43.35,Y,,
841,CG044-031,01C008CMW,7/17/2018,41.54,8/3/2018,148.65,44.04,Y,,
842,CG044-031,01C009AMW,8/16/2017,40.04,7/13/2018,78.79,36.95,Y,,
843,CG044-031,01C009BMW,3/26/2018,35.21,7/13/2018,130.2,36.86,Y,,
844,CG044-031,01C009CMW,8/16/2017,37.34,7/13/2018,210,34.84,Y,,
845,CG044-031,01C011AMW,3/26/2018,35.16,7/13/2018,60,36.9,Y,,
846,CG044-031,01C011BMW,3/26/2018,33.81,7/13/2018,140.5,41.33,Y,,
847,CG044-031,01C011CMW,3/26/2018,33.95,7/13/2018,190,41.83,Y,,
848,CG044-031,01C101AMW,3/23/2018,38.12,7/13/2018,65,37.61,Y,,
849,CG044-031,01C101BMW,,,7/13/2018,96,37.69,Y,,
850,CG044-031,01C102AMW,8/14/2017,47.1,7/17/2018,52.5,44.93,Y,,
851,CG044-031,01C102BMW,8/14/2017,46.96,7/17/2018,115,44.84,Y,,
852,CG044-031,01C103AMW,8/17/2017,41.2,7/13/2018,95,38.64,Y,,
853,CG044-031,01C103BMW,8/17/2017,41.18,7/13/2018,125.9,38.59,Y,,
854,CG044-031,01C104AMW,3/23/2018,41.36,7/13/2018,65,41.34,Y,,
855,CG044-031,01C104BMW,,,7/13/2018,125,41.31,Y,,
856,CG044-031,01C106MW,8/16/2017,,7/13/2018,54.55,47.28,Y,,
857,CG044-031,01L001MW,7/17/2018,49.62,8/3/2018,107,52.61,Y,,
858,CG044-031,01L002MW,3/29/2018,36.36,8/3/2018,100.5,40.74,Y,,
859,CG044-031,01L003MW,3/26/2018,36.39,7/13/2018,93,39.17,Y,,
860,CG044-031,01L005MW,8/16/2017,46.43,7/13/2018,93,43.48,Y,,
861,CG044-031,01L009MW,7/12/2018,39.12,8/3/2018,68,39.8,Y,,
862,CG044-031,01L010MW,7/17/2018,48.91,8/3/2018,72,51.35,Y,,
863,CG044-031,01R008MW,8/14/2017,45.11,7/17/2018,59,43.01,Y,,
864,CG044-031,05R002MW,3/22/2018,61.34,7/17/2018,161,61.31,Y,,
865,CG044-031,05R003MW,3/22/2018,70.16,7/17/2018,85,69.65,Y,,
866,CG044-031,11C004MW,8/17/2017,64.28,7/18/2018,70.2,62.73,Y,,
867,CG044-031,21L002MW,6/26/2018,44.98,7/17/2018,70,45.03,Y,,
868,CG044-031,32C009AMW,8/14/2017,56.65,7/17/2018,60.5,54.85,Y,,
869,CG044-031,32C009BMW,8/14/2017,56.72,7/17/2018,141.28,54.91,Y,,
870,CG044-031,32C026IW,8/14/2017,60.22,7/18/2018,125,58.4,Y,,
871,CG044-031,32C027EW,3/23/2018,69.34,7/17/2018,105,68.33,Y,,
872,CG044-031,32C037MW,8/14/2017,61.89,7/18/2018,75,60.48,Y,,
873,CG044-031,32C040MW,8/14/2017,63.85,7/18/2018,73,62.41,Y,,
874,CG044-031,32R002MW,8/14/2017,57.81,7/17/2018,166,55.95,Y,,
875,CG044-031,SD32VE4D,8/14/2017,62.72,7/18/2018,70,61.35,Y,,
876,Site SS023,23L001MW,7/20/2017,20.05,7/3/2018,45.5,19.67,Y,,
877,Site SS023,23L004MW,7/20/2017,17.58,7/3/2018,43,14.2,Y,,
878,Site SS023,23U001AMW,7/20/2017,20.49,7/9/2018,28,20.31,Y,,
879,Site SS023,23U008AMW,7/20/2017,21.94,7/3/2018,42.2,21.39,Y,,
880,Site SS023,23U008BMW,7/20/2017,33.14,7/3/2018,59.9,32.01,Y,,
881,Site SS023,BAT-3MW,7/24/2017,10.23,7/9/2018,38,10.24,Y,,
882,Site SS023,BAT-5BMW-R,7/20/2017,14.61,7/2/2018,37.5,14.13,Y,,
883,Site SS023,OWSM-C001MW,7/20/2017,16.08,7/3/2018,23.2,15.79,Y,,
884,Site SS023,SWMU23U002AMW,7/20/2017,21.7,7/3/2018,29.8,21.17,Y,,
885,Site SS023,SWMU23U002BMW,7/20/2017,35.97,7/3/2018,57.5,34.84,Y,,
886,Site SS023,SWMU23U003BMW,7/19/2017,7.48,7/2/2018,49,7.27,Y,,
887,Site SS023,SWMU23U004BMW,7/19/2017,15.64,7/2/2018,51,15.3,N,,
888,Site SS023,SWMU23U005BMW,,,7/3/2018,46,13.9,Y,,
889,Site SS023,SWMU23U006BMW,7/19/2017,15.94,7/3/2018,44.86,15.87,Y,,
890,Site SS023,SWMU23U007BMW,7/25/2017,16.35,7/16/2018,46,16.29,Y,,
891,Site SS023,SWMU34U001MW,6/28/2018,16.82,7/3/2018,38.2,16.89,Y,,
892,CG041-029,29C008AMW,8/8/2017,34.23,7/31/2018,48,33.2,Y,,
893,CG041-029,29C008BMW,8/8/2017,42.82,7/31/2018,73,40.69,Y,,
894,CG041-029,29C009BMW,8/8/2017,31,7/27/2018,65,29.89,Y,,
895,CG041-029,29C037AMW,8/7/2017,28.2,7/31/2018,32,27.13,Y,,
896,CG041-029,29C037BMW,8/7/2017,34.93,7/31/2018,32,32.53,Y,,
897,CG041-029,29C038AMW,8/8/2017,28.33,7/27/2018,38,27.38,Y,,
898,CG041-029,29C038BMW,8/8/2017,38.34,7/27/2018,70,35.79,Y,,
899,CG041-029,29C040AMW,8/8/2017,28.98,7/27/2018,70,26.09,Y,,
900,CG041-029,29C040BMW,8/8/2017,28.89,7/27/2018,99.5,26.05,Y,,
901,CG041-029,29L004MW,8/8/2017,40.89,7/27/2018,84,39.62,Y,,
902,CG041-029,29VW004,8/8/2017,25.8,7/31/2018,33.5,24.78,Y,,
903,CG041-039,19C001MW,8/2/2017,35.5,7/27/2018,90,33.14,Y,,
904,CG041-039,19C002MW,8/8/2017,35.17,8/9/2018,75,32.92,Y,,
905,CG041-039,19C003MW,8/8/2017,35.03,8/9/2018,89,32.64,Y,,
906,CG041-039,19L001MW,8/8/2017,34.1,8/9/2018,73.8,31.89,Y,,
907,CG041-039,19L002MW,8/3/2017,31.75,7/27/2018,80,29.55,Y,,
908,CG041-039,36U001MW,8/4/2017,28.05,7/27/2018,35,27.85,Y,,
909,CG041-039,39C013BMW,8/25/2017,32.04,7/27/2018,71.5,30.44,Y,,
910,CG041-039,39C014BMW,8/3/2017,17.61,7/25/2018,55,17.15,Y,,
911,CG041-039,39C015AMW,8/4/2017,18.22,7/20/2018,53,12.69,Y,,
912,CG041-039,39C015BMW,8/4/2017,32.68,7/20/2018,73,30.95,Y,,
913,CG041-039,39C016MW,8/8/2017,32.02,8/9/2018,170.1,28.53,Y,,
914,CG041-039,39C017BMW,8/3/2017,32.71,8/2/2018,61,32.13,Y,Replaced harness on 7/11.,
915,CG041-039,39C019AMW,8/3/2017,13.4,7/27/2018,27.8,13.25,Y,,
916,CG041-039,39C019BMW,8/3/2017,27.05,7/27/2018,66.5,25.96,Y,,
917,CG041-039,39C025MW,8/3/2017,14.16,7/27/2018,35,13.99,Y,,
918,CG041-039,39C044MW,8/7/2017,35.2,7/27/2018,78.5,33.4,Y,,
919,CG041-039,39C045BMW,7/11/2018,31.11,8/2/2018,57,31.61,Y,,
920,CG041-039,39C047MW,8/3/2017,22.62,7/27/2018,39,22.53,Y,,
921,CG041-039,39C058AMW,8/3/2017,23.17,7/20/2018,37,22.45,Y,,
922,CG041-039,39C058BMW,8/3/2017,22,7/20/2018,57,21.31,Y,,
923,CG041-039,39C058CMW,8/3/2017,36.5,7/20/2018,100,34.82,Y,,
924,CG041-039,39U003AMW,8/2/2017,13.95,7/20/2018,30,12.75,Y,,
925,CG041-039,39U003BMW,8/2/2017,26.91,7/20/2018,70,24.91,Y,,
926,CG041-039,39U003CMW,8/2/2017,26.79,7/20/2018,115,24.76,Y,,
927,CG041-039,39U004AMW,8/2/2017,19.99,7/20/2018,30,19.27,Y,,
928,CG041-039,39U004BMW,8/2/2017,32.19,7/20/2018,69,30.44,Y,,
929,CG041-039,39U004CMW,8/2/2017,32.14,7/20/2018,102,30.38,Y,,
930,CG041-039,39U005AMW,8/3/2017,,7/27/2018,29.5,22.9,Y,,
931,CG041-039,39U005BMW,8/3/2017,34.71,7/27/2018,54.5,33.74,Y,,
932,CG041-039,39U006AMW,8/7/2017,25.48,7/27/2018,34,25.62,Y,,
933,CG041-039,39U006BMW,8/25/2017,37.55,7/27/2018,72,36.78,Y,,
934,CG041-039,39U007AMW,7/27/2018,31.03,8/10/2018,40.7,26.84,Y,,
935,CG041-039,39U007BMW,8/7/2017,42.24,7/27/2018,73,40.72,Y,,
936,CG041-039,39U007CMW,8/4/2017,42.44,7/27/2018,90,40.88,Y,,
937,CG041-039,39U007APZ,8/7/2017,22.18,7/20/2018,33.3,21.94,Y,,
938,CG041-039,39U007BPZ,8/4/2017,23.34,7/20/2018,55.5,23.1,Y,,
939,CG041-039,39U008AMW,8/4/2017,26.08,8/9/2018,65.48,24.75,Y,,
940,CG041-039,39U008BMW,8/4/2017,33.42,8/9/2018,131.1,30.31,Y,,
941,CG041-039,39U008APZ,8/4/2017,24.41,7/27/2018,32,24.54,Y,,
942,CG041-039,39U008BPZ,8/3/2017,24.33,7/27/2018,53,24.51,Y,,
943,CG041-039,39U009AMW,8/8/2017,30.48,8/9/2018,90.15,27.46,Y,,
944,CG041-039,39U009BMW,8/8/2017,30.9,8/9/2018,139.13,27.78,Y,,
945,CG041-039,A72U001AMW,8/2/2017,15.9,7/20/2018,33.94,15.43,Y,,
946,CG041-039,A72U001BMW,7/20/2018,34.08,8/7/2018,49.5,29.65,Y,,
947,CG041-039,A72U002AMW,8/2/2017,19.12,7/27/2018,25,18.69,Y,,
948,CG041-039,A72U002BMW,8/2/2017,33.76,7/27/2018,77.98,31.85,Y,,
949,CG041-039,A72U002CMW,8/2/2017,33.78,7/27/2018,111.97,31.75,Y,,
950,CG041-039,A72U003AMW,8/8/2017,21.71,8/9/2018,30,21.18,Y,,
951,CG041-039,A72U003BMW,8/8/2017,34.28,8/9/2018,75,31.9,Y,,
952,CG041-039,A72U003CMW,8/8/2017,36.61,8/9/2018,128.5,33.68,Y,,
953,CG041-039,UBL001MW,8/7/2017,37.51,7/20/2018,77,35.82,Y,,
954,CG041-507,23U006BMW,8/8/2017,14.79,7/27/2018,46.5,14.81,Y,,
955,CG041-507,23U006CMW,8/8/2017,16.04,7/27/2018,67,15.9,Y,,
956,CG041-507,SWMU23C001AMW,8/8/2017,13.53,7/27/2018,32.5,15.19,Y,,
957,CG041-507,SWMU23C001BMW,8/8/2017,14.07,7/27/2018,55,21.32,Y,,
958,CG041-507,SWMU23C002MW,3/16/2018,35.44,7/27/2018,30,14.77,Y,,
959,CG041-507,SWMU23C003MW,8/8/2017,10.13,7/27/2018,45,10.23,Y,,
960,CG041-507,SWMU23C004AMW,8/8/2017,19.59,7/31/2018,32,19.62,Y,,
961,CG041-507,SWMU23C004BMW,8/8/2017,25.85,7/31/2018,72,25.23,Y,,
962,CG041-507,SWMU23C005MW,8/8/2017,17.04,7/31/2018,50,16.8,Y,,
963,CG041-507,SWMU23C006AMW,,,7/31/2018,23,13.4,Y,,
964,CG041-507,SWMU23U001AMW,8/8/2017,15.15,7/27/2018,32.5,15.19,Y,,
965,CG041-507,SWMU23U001BMW,8/8/2017,21.96,7/27/2018,55,21.32,Y,,
966,CG041-508,SS508C009MW,,,7/12/2018,,6.78,Y,,
967,CG044-040,40C002AMW,,,8/8/2018,55.1,44.69,Y,,
968,CG044-040,40C002CMW,,,8/8/2018,99,37.49,Y,,
969,CG044-040,40C005AMW,8/2/2017,50.52,8/29/2018,56,48.56,Y,,
970,CG044-040,40C009BMW,8/2/2017,28.5,8/29/2018,75,27.97,Y,,
971,CG044-040,40C009CMW,8/2/2017,29.2,8/29/2018,95,28.24,Y,,
972,CG044-040,40C011PZ,7/11/2018,31.24,8/3/2018,96,31.84,Y,,
973,CG044-040,40C012PZ,7/12/2018,31.33,8/3/2018,96,31.47,Y,,
974,CG044-040,40C016MW,8/22/2017,65.15,7/18/2018,146.5,61.65,Y,,
975,CG044-040,40C018AMW,8/1/2017,63.85,7/20/2018,81,61,Y,,
976,CG044-040,40C018BMW,8/22/2017,64.3,7/20/2018,112.5,61,Y,,
977,CG044-040,40C020AMW,7/20/2018,37.75,8/6/2018,105,38.08,Y,Redeployed because too high.,
978,CG044-040,40C020BMW,8/22/2017,43.04,7/20/2018,196.9,38.1,Y,,
979,CG044-040,40C021AMW,7/11/2018,42.34,8/3/2018,104,42.9,Y,,
980,CG044-040,40C021BMW,8/2/2017,46.96,8/3/2018,195,42.84,Y,,
981,CG044-040,40C022MW,8/22/2017,65.07,7/18/2018,114.5,61.51,Y,,
982,CG044-040,40C023MW,3/27/2018,61.86,7/19/2018,114,61.15,Y,,
983,CG044-040,40C024AMW,8/1/2017,62.27,7/20/2018,65.6,59.91,Y,,
984,CG044-040,40C024BMW,8/22/2017,62.72,7/20/2018,113.5,59.5,Y,,
985,CG044-040,40C028MW,8/2/2017,17.3,7/19/2018,57,16.6,Y,,
986,CG044-040,40C034BMW,7/19/2018,50.63,8/3/2018,144,94.31,Y,,
987,CG044-040,40C036MW,8/22/2017,64.09,7/20/2018,113.5,60.8,Y,,
988,CG044-040,40C037AMW,7/19/2018,,8/3/2018,118,48.54,Y,,
989,CG044-040,40C037BMW,8/11/2017,52.29,7/19/2018,146.9,48.11,Y,,
990,CG044-040,40C037CMW,7/19/2018,48.04,8/3/2018,181,,Y,,
991,CG044-040,40C044MW,3/27/2018,41.94,7/20/2018,160,42.7,Y,,
992,Site PL582,LRSMW4A,8/9/2017,78.02,8/1/2018,95,81.91,Y,,
993,Site PL582,LRSMW4B,6/27/2018,52.65,8/1/2018,62,53.05,Y,,
994,Site PL582,LRSMW5B,6/27/2018,54.86,8/1/2018,65,55.3,Y,,
995,Site PL582,LRSMW6B,6/27/2018,55.94,8/1/2018,65,55,Y,,
996,Site PL582,LRSMW7,3/21/2018,53.3,8/1/2018,64.5,54.05,Y,,
997,Site PL582,LRSMW8,3/21/2018,53.72,8/1/2008,66,54.3,Y,,
998,Site PL582,LRSMW9,8/9/2017,63,8/1/2018,63,54.12,Y,,
999,Site PL582,PL582C010MW,8/9/2017,64.07,8/1/2018,69,64.3,Y,,
1000,Site PL582,PL582C011MW,8/9/2017,58,8/1/2018,68,56.65,Y,,
1001,Site PL582,PL582C012MW,8/9/2017,53.44,8/1/2018,64.5,52.06,Y,,
1002,Site PL582,PL582C013MW,6/27/2018,50.9,8/1/2018,62.5,51.28,Y,,
1003,Site PL582,PL582C022MW,6/27/2018,75.05,8/1/2018,83,77.25,Y,,
1004,Site PL582,PL582C029MW,3/21/2008,58.81,8/1/2018,69,59,Y,,
1005,Site PL582,PL582C031MW,8/9/2017,76.31,8/1/2018,81,78,Y,,
1006,Site PL582,PL582C032MW,8/9/2017,82.8,8/1/2018,96,86.34,Y,,
1007,Site PL582,PL582C033MW,8/9/2017,76.16,8/1/2018,87,79.97,Y,,
1008,CG044-003,03C048MW,7/12/2018,53.78,2/7/2019,73.6,53.14,Y,,
1009,CG044-003,03C049MW,7/13/2018,55.61,2/7/2019,74,54.64,Y,,
1010,CG044-003,03C058MW,7/2/2018,44.56,2/7/2019,100,43.48,Y,,
1011,CG044-003,03C059MW,7/2/2018,44.4,2/7/2019,98,43.25,Y,,
1012,CG044-003,03C060MW,8/27/2018,50.3,2/7/2019,135,50.2,Y,,
1013,CG044-003,03C061MW,8/27/2018,49.73,2/7/2019,62.5,48.69,Y,,
1014,CG041-010,10R004MW,7/11/2018,68,2/8/2019,71,67.87,Y,,
1015,CG044-013,13C045MW,8/3/2018,35.55,2/6/2019,176.5,29.56,Y,,
1016,CG044-013,13C054MW,8/3/2018,32.41,2/6/2019,250,25.99,Y,,
1017,CG044-013,13C103MW,8/30/2018,32.1,2/6/2019,95,24.89,Y,,
1018,CG044-013,13C104MW,8/30/2018,33.99,2/6/2019,105,28.72,Y,,
1019,CG044-013,13C105MW,8/30/2018,31.45,2/6/2019,198,23.87,Y,,
1020,CG044-013,13C106MW,8/30/2018,30.26,2/6/2019,250,25.55,Y,,
